,May_Total_RL,May_half_life,May_inflec_FoldedNormal,May_Inflection_sig_point,June_Total_RL,June_half_life,June_inflec_FoldedNormal,June_Inflection_sig_point,July_Total_RL,July_half_life,July_inflec_FoldedNormal,July_Inflection_sig_point,x,bed,Delta_15N,Delta_13C,Log_Delta_15N,ID
128,62.74668039013213,141.51,144.53,161.1,43.07320101407807,152.26,159.46,172.83,34.58467798296424,155.32,160.3,167.2,1241,1,427.2378122224838,-27.33421339000421,6.057340795485801,511016.09
129,56.144566155153896,122.88,129.7,141.87,37.083470396308726,145.0,155.86,167.7,31.913983638768077,149.37,157.71,164.9,1242,1,79.93741247321856,-27.09616906374218,4.381243984398272,Canon
130,68.11466456590622,128.75,134.36,152.77,38.01093482535654,151.41,158.57,171.81,34.798817226521514,153.2,159.57,169.66,1243,1,166.08912805449927,-27.049050212146973,5.112524560259685,Kaldi
131,75.95902351357003,134.83,144.56,171.54,47.11224778336637,159.71,164.21,179.99,42.856318939265314,158.78,163.55,175.31,1244,1,61.13073461365589,-27.373639397782554,4.113014761204742,Torp
132,68.76145518542347,125.03,132.06,152.39,44.2149786443293,150.66,159.26,177.14,41.660568955791,147.91,156.94,173.63,1246,1,117.58112289228863,-27.316302222680843,4.767128502956477,Sj M0493
133,73.62316815486076,120.03,130.49,155.98,45.58254817053696,157.09,163.86,181.54,39.449988654322496,152.64,162.72,175.37,1247,1,37.69009682241855,-27.6163669908038,3.629397376191068,Hardwicke
134,83.70447984260777,157.28,153.86,178.44,64.66634287913116,184.08,181.43,193.56,49.27969166255573,184.43,183.86,195.05,1248,1,335.4254008877216,-27.93921603481194,5.815399579639335,512147.12
135,87.65463507463285,195.53,170.49,188.73,66.2708956758053,182.47,179.86,197.1,61.27258096647184,190.23,183.49,196.92,1249,1,195.62844207509573,-26.439681931697372,5.276217156411677,LGWD14-4219-B
136,91.10994261802288,149.31,149.43,175.95,48.07698519489657,162.43,167.13,185.21,50.78298009137298,164.24,168.66,187.58,1250,1,129.7206961247538,-26.716983171836127,4.86538364778884,Sj L632
137,69.18722250501784,118.4,128.02,143.68,36.81863184293336,138.83,150.2,167.38,18.062263336111023,171.34,174.75,160.12,2102,2,7.578565640822069,-27.371405026788576,2.0253239523051314,Sj N1123
