,May_Total_RL,May_half_life,May_inflec_FoldedNormal,May_Inflection_sig_point,June_Total_RL,June_half_life,June_inflec_FoldedNormal,June_Inflection_sig_point,July_Total_RL,July_half_life,July_inflec_FoldedNormal,July_Inflection_sig_point,x,bed,Delta_15N,Delta_13C,Log_Delta_15N,ID,RFP_Delta_15N,RFP_Log_Delta_15N,RFP_Delta_13C,Corrected_Log15N,Corrected_13C
103,71.5578961622709,123.16,131.52,150.35,39.03753715604836,153.78,160.37,175.41,30.13933239310497,151.77,158.76,165.83,1213,1,25.89422756732247,-25.847309253122223,3.2540200700168715,Sj M0471,-17.896856902089127,0.0821570289944945,0.0501092875227509,-1.3016860092712004,1.1701636932236887
104,81.87229432976959,119.84,126.25,145.97,44.07804232904883,142.71,149.44,169.73,36.79221939511071,140.67,148.07,164.8,1214,1,64.44201792156161,-26.667010247909264,4.16576587255407,NOS 511014.06,-28.687190105283303,-0.9968945554907122,0.194637594525507,-0.4122354285307192,0.3639855334433655
105,65.71023248910794,122.14,132.06,151.77,37.792546751202,163.56,172.12,175.46,28.75416496428537,172.85,174.81,155.26,1215,1,45.287843947292224,-26.69147600512127,3.813038650943495,Kvarn,-23.52166122526145,-0.3462552516947148,0.4607621394950454,-0.7872578719380123,0.3530426112380773
106,73.4053497311674,135.08,142.0,164.38,40.555631795913,160.0,167.36,178.21,25.191387490553367,162.2,169.39,146.21,1216,1,22.557158520849622,-26.82942351921261,3.1160524666072287,Sj N0514,-23.03204804415363,-0.6378881587263803,0.4271633068975718,-1.506539278070996,0.2286179321534547
107,70.12513321077586,187.02,166.62,177.45,61.12205974843913,166.48,168.53,186.27,47.541013934427625,161.76,165.12,180.04,1217,1,53.15897921161413,-27.573995763577702,3.9732870314713296,Sj L635,12.611191236771877,0.5011343047685596,-0.2358903959007529,-0.6715999350036164,-0.5024314772049188
108,81.35181547485331,129.66,140.17,170.73,52.53218708747093,164.98,165.34,177.62,46.30561353559231,157.09,160.16,171.87,1218,1,40.27966416631149,-26.70038456428657,3.695846730335751,NOS 510032.7,4.650682317214652,0.2734224180742606,0.0209118854758078,-0.9713354579359126,0.3847025570929325
109,72.3372202801757,139.49,143.16,162.49,47.72711484474824,164.83,169.1,184.58,40.85981760978913,171.84,173.5,183.99,1219,1,64.78173937087183,-25.801432424122105,4.17102376381297,NOS 510050.19,-0.4232422841172134,0.5008869867298275,0.0239344629511585,-0.518453646255411,1.297177532264115
110,89.68924142422279,126.97,140.28,171.85,55.88068186455638,167.76,169.3,184.74,46.34861852187261,167.22,169.2,184.2,1220,1,135.73576560604835,-27.10410504200772,4.910710095902114,NOS 509180.09,18.415997617515803,0.5350480061682991,-0.2568887439138863,0.1989374640370149,0.0080277493852172
111,77.89857875109932,130.44,142.66,171.54,50.73702637648733,165.41,169.24,191.89,43.30921784397915,178.67,176.44,186.09,1221,1,405.4390138428573,-26.397902189060225,6.004970464816422,Ohio,-5.586542316560063,0.1786329041943237,0.1074887220126581,1.2709026111546056,0.7277534373394303
112,93.2975200938046,130.84,137.26,163.46,48.43425959214091,145.55,155.0,171.59,45.4369937045597,147.91,158.31,176.88,1222,1,516.8409897227235,-25.833157534238,6.247735263802119,NOS 510050.17,-7.103061238957757,-0.0117150692248664,0.1739134211481086,1.491372188343585,1.306020927168376
113,103.68010426104269,127.21,139.98,175.21,54.55133845588744,161.94,166.33,182.68,49.22879888121082,170.17,170.79,184.49,1223,1,32.06487435578506,-27.206421811475145,3.467761174170728,KWS 308,25.517140223460206,0.6398296522618458,-0.1276496706435717,-1.3108971230845237,-0.0537205150620536
114,71.92974286908995,141.57,144.68,163.3,39.98705389507212,158.09,163.31,176.02,37.22254009876544,162.99,166.9,173.34,1224,1,26.004084252615908,-27.068209859428123,3.2582536123237413,Sj M0567,-15.307132904923067,-0.2975150807682594,0.3522465206687039,-1.542699906728228,0.098014271991687
115,89.5471106862599,147.69,151.05,174.11,54.18696377100639,153.44,159.76,171.52,44.30340199622311,160.63,162.61,172.06,1225,1,72.73850803240933,-26.763893304847983,4.286870928383538,Kalmar,19.01531296918576,0.6526968647886696,-0.2890126651457458,-0.5363778124651528,0.4158536615785451
