Camera,tube,Depth,Date,Root.length
Cam3_,100,2126,16/05/2019,1017
Cam3_,100,2161,16/05/2019,221
Cam3_,100,2194,16/05/2019,669
Cam3_,100,2232,16/05/2019,2108
Cam3_,100,2266,16/05/2019,1685
Cam3_,100,2299,16/05/2019,688
Cam3_,100,2335,16/05/2019,448
Cam3_,100,2372,16/05/2019,1412
Cam3_,100,2405,16/05/2019,652
Cam3_,100,2441,16/05/2019,621
Cam3_,100,2476,16/05/2019,1018
Cam3_,100,2512,16/05/2019,1300
Cam3_,100,2546,16/05/2019,484
Cam3_,100,2582,16/05/2019,73
Cam3_,100,2614,16/05/2019,109
Cam3_,100,2651,16/05/2019,320
Cam3_,100,2686,16/05/2019,398
Cam3_,100,2721,16/05/2019,126
Cam3_,100,2756,16/05/2019,80
Cam3_,100,2791,16/05/2019,82
Cam3_,100,2825,16/05/2019,0
Cam3_,100,2860,16/05/2019,125
Cam3_,100,2896,16/05/2019,1803
Cam3_,100,2932,16/05/2019,419
Cam3_,100,2965,16/05/2019,950
Cam3_,100,3000,16/05/2019,762
Cam3_,100,3037,16/05/2019,664
Cam3_,100,3071,16/05/2019,799
Cam3_,100,3105,16/05/2019,116
Cam3_,100,3140,16/05/2019,0
Cam3_,100,3175,16/05/2019,102
Cam3_,100,3210,16/05/2019,514
Cam3_,100,3244,16/05/2019,1647
Cam3_,100,3280,16/05/2019,1970
Cam3_,100,3316,16/05/2019,1113
Cam3_,100,3349,16/05/2019,645
Cam3_,100,3386,16/05/2019,232
Cam3_,100,3420,16/05/2019,753
Cam3_,100,3455,16/05/2019,926
Cam3_,100,3493,16/05/2019,544
Cam3_,100,3527,16/05/2019,463
Cam3_,100,3559,16/05/2019,255
Cam3_,100,3595,16/05/2019,0
Cam3_,100,3630,16/05/2019,149
Cam3_,100,3665,16/05/2019,351
Cam3_,100,3700,16/05/2019,0
Cam3_,100,3736,16/05/2019,0
Cam3_,100,3770,16/05/2019,0
Cam3_,100,3805,16/05/2019,0
Cam3_,100,3841,16/05/2019,0
Cam3_,100,3875,16/05/2019,0
Cam3_,100,3910,16/05/2019,0
Cam3_,100,3945,16/05/2019,823
Cam3_,100,3980,16/05/2019,30
Cam3_,100,4015,16/05/2019,474
Cam3_,100,4049,16/05/2019,324
Cam3_,100,4085,16/05/2019,169
Cam3_,100,4121,16/05/2019,0
Cam3_,100,4155,16/05/2019,0
Cam3_,100,4191,16/05/2019,0
Cam3_,100,4224,16/05/2019,0
Cam3_,100,4259,16/05/2019,0
Cam3_,100,4297,16/05/2019,0
Cam3_,100,4331,16/05/2019,0
Cam3_,100,4365,16/05/2019,0
Cam3_,100,4401,16/05/2019,0
Cam3_,100,4437,16/05/2019,0
Cam3_,100,4470,16/05/2019,0
Cam3_,100,4505,16/05/2019,0
Cam3_,100,4542,16/05/2019,0
Cam3_,100,4575,16/05/2019,0
Cam3_,100,4610,16/05/2019,0
Cam3_,100,4647,16/05/2019,0
Cam3_,100,4680,16/05/2019,0
Cam3_,100,4715,16/05/2019,0
Cam3_,100,4751,16/05/2019,0
Cam3_,100,4784,16/05/2019,0
Cam3_,100,4819,16/05/2019,0
Cam3_,100,4856,16/05/2019,0
Cam3_,100,4891,16/05/2019,0
Cam3_,100,4926,16/05/2019,0
Cam3_,100,4959,16/05/2019,0
Cam3_,100,5004,16/05/2019,0
Cam3_,100,515,16/05/2019,0
Cam3_,100,547,16/05/2019,0
Cam3_,100,584,16/05/2019,0
Cam3_,100,619,16/05/2019,326
Cam3_,100,654,16/05/2019,0
Cam3_,100,689,16/05/2019,60
Cam3_,100,723,16/05/2019,791
Cam3_,100,758,16/05/2019,717
Cam3_,100,794,16/05/2019,497
Cam3_,100,829,16/05/2019,1764
Cam3_,100,864,16/05/2019,455
Cam3_,100,900,16/05/2019,284
Cam3_,100,934,16/05/2019,49
Cam3_,100,970,16/05/2019,464
Cam2_,101,1004,16/05/2019,0
Cam2_,101,1041,16/05/2019,157
Cam2_,101,1077,16/05/2019,0
Cam2_,101,1111,16/05/2019,0
Cam2_,101,1145,16/05/2019,588
Cam2_,101,1181,16/05/2019,255
Cam2_,101,1217,16/05/2019,403
Cam2_,101,1252,16/05/2019,61
Cam2_,101,1286,16/05/2019,191
Cam2_,101,1322,16/05/2019,102
Cam2_,101,1356,16/05/2019,625
Cam2_,101,1391,16/05/2019,1127
Cam2_,101,1424,16/05/2019,564
Cam2_,101,1462,16/05/2019,62
Cam2_,101,1497,16/05/2019,170
Cam2_,101,1531,16/05/2019,66
Cam2_,101,1567,16/05/2019,1344
Cam2_,101,1601,16/05/2019,1545
Cam2_,101,1635,16/05/2019,1937
Cam2_,101,1671,16/05/2019,2101
Cam2_,101,1706,16/05/2019,1387
Cam2_,101,1740,16/05/2019,1727
Cam2_,101,1775,16/05/2019,1485
Cam2_,101,1811,16/05/2019,2437
Cam2_,101,1846,16/05/2019,1664
Cam2_,101,1881,16/05/2019,2220
