,May_Total_RL,May_half_life,May_inflec_FoldedNormal,May_Inflection_sig_point,June_Total_RL,June_half_life,June_inflec_FoldedNormal,June_Inflection_sig_point,July_Total_RL,July_half_life,July_inflec_FoldedNormal,July_Inflection_sig_point,x,bed,Delta_15N,Delta_13C,ID,Log_Delta_15N,RFP_Delta_15N,RFP_Log_Delta_15N,RFP_Delta_13C,Corrected_Log15N,Corrected_13C
93,82.85425856337972,150.07,146.7,170.56,80.57955711924956,166.17,161.35,193.69,64.86387234516728,162.43,162.05,200.22,1238,1,94.25132332939252,-27.526316304640183,513126.08,4.545964866859711,-7.537948622146984,-0.0892417360328967,-0.0082953977354259,1.1099016114605913,0.3603020322738537
94,45.49066090208922,155.27,148.97,166.89,60.81511451068522,183.84,164.75,173.95,26.097152229073963,148.0,149.42,180.25,1240,1,109.85620993247808,-28.27612058168169,NOS_511031.19,4.699172328252174,3.3670436821397063,-0.18186266892831,0.0306983993278518,1.238665122854994,-0.3929348928380562
95,73.69938334206279,186.07,158.93,168.53,69.75303658005737,161.32,153.74,164.57,49.33086948970978,196.78,169.65,180.78,1241,1,75.19710273009554,-27.75880181973752,Sj_M0351,4.320112702688265,10.679332162385942,-0.3324994577852599,-0.1006164871818005,0.8473835222920538,0.1226675450709109
96,94.28109873922116,137.71,140.72,167.97,97.82926842716428,142.04,149.96,183.32,77.5209932551276,174.19,166.81,201.82,1242,1,4.157137718289146,-28.27932973417865,P0221,1.4248267889709922,-3.2542590652204844,-0.0565348648131978,-0.0096623007878115,-2.0601243664242483,-0.3995766934054181
97,89.1997148691811,132.78,136.32,160.66,93.37825572243696,162.34,160.39,194.25,78.58596090826975,166.76,163.98,209.13,1243,1,37.75646789377394,-27.741450110992623,WW6210_/_M0465,3.631156795953289,-2.0305986437051797,-0.1759326446292001,0.0560095186206885,0.1339836655590174,0.136586605745407
98,64.18771970616464,148.06,145.14,168.88,88.76867919827367,160.04,160.56,183.08,68.87714888281178,163.79,161.39,184.12,1244,1,50.62544320385211,-27.88413234463297,Sj_L262,3.9244542800323736,-1.9127230219497544,-0.2136041045578287,0.1194694729583302,0.4150591746390728,-0.0078119519301438
99,83.54834980056316,160.34,148.05,162.41,42.45610893233018,107.4,111.66,116.9,62.45006470572031,175.41,163.66,191.69,1246,1,43.05806561233798,-28.17731253399844,Elixer,3.7625495678509258,7.234200415105871,-0.1645888399515033,0.0678274804129951,0.2287105124595645,-0.3044247893660134
100,78.90322520739161,135.73,138.53,162.69,83.68797845587086,165.73,160.61,185.24,69.5218381308571,174.51,167.43,194.91,1247,1,15.09029093849184,-27.198978252781952,WW5716_/_Sj_M1090,2.714051552812044,1.0024798204923504,-0.1188955871162076,0.0929139313734204,-0.8320094775783464,0.6721931678152693
101,54.2284410406528,160.19,150.85,179.09,87.4473945888894,208.33,176.33,197.67,61.60670626165718,204.97,176.16,210.28,1248,1,13.893565897027422,-27.83857867252345,Sheriff,2.6314258478663235,-3.613318789687628,-0.0672497963957117,-0.0154144720414688,-0.9268571575230982,0.0308764240385706
102,101.45971264902045,189.16,166.34,188.33,98.60272570873492,171.2416730038023,202.79,202.04,64.39815065754033,227.46,183.65,200.48,1249,1,14.98706446582716,-28.216688986277237,Sj_N0115,2.707187460103341,-1.5096225483877923,0.0238970179243457,-0.0373927611971834,-0.86331752028511,-0.3489502137504168
103,83.94254288148514,169.01,156.24,175.76,87.22287916924881,230.65,182.22,195.86,57.43400413153593,215.79,179.89,196.12,1250,1,40.18490423984241,-27.970332097198728,P0287,3.6934914086791975,-2.39309332115688,-0.0549567994937613,-0.0355662605889756,0.1107644532917153,-0.1043096487071082
104,74.68478227009905,123.66,132.67,156.94,99.81835975160794,156.22,157.14,183.33,59.34255963519277,165.64,163.15,185.81,2101,2,32.29453774258448,-28.04473316496596,P0598,3.474898105791176,0.5234206447665049,0.0284017565153139,0.1129151223709246,0.2609204575075154,-0.0260636687800577
105,60.96580653340639,119.19,126.47,140.05,68.37304182591419,151.35,147.82,168.29,38.15221337571533,146.34,149.82,174.11,2102,2,16.205337811314315,-28.54649705151884,WW5950_/_Sj_N1069,2.7853406824925133,-1.1091775234727046,-0.0511786347560579,0.0587113858743982,-0.4325898884074113,-0.5253825104710472
