,May_Total_RL,May_half_life,May_inflec_FoldedNormal,May_Inflection_sig_point,June_Total_RL,June_half_life,June_inflec_FoldedNormal,June_Inflection_sig_point,July_Total_RL,July_half_life,July_inflec_FoldedNormal,July_Inflection_sig_point,x,bed,Delta_15N,Delta_13C,ID,Log_Delta_15N
38,81.78614185367067,140.96,143.67,175.1,85.32557832462898,157.84,154.82,180.16,65.06241851823486,154.01,154.65,184.39,1172,1,20.788062469899558,-27.91382229123375,WW5933_/_Sj_N1127,3.034378902235944
39,83.56591956412055,130.46,138.74,159.59,107.14390874577892,178.37,171.52,205.21,83.40640192643092,164.81,168.94,201.63,1174,1,24.520385132469173,-29.003157833369652,Hereford,3.199504817815343
40,111.41281615608388,142.29,143.91,175.66,111.40584575951166,179.51,165.85,189.72,100.36243114196444,169.52,162.45,193.32,1175,1,40.34363398875232,-27.78510698492437,513008.04,3.697433612473513
41,89.79910608039827,164.09,152.68,167.41,98.51671294298949,212.21,176.79,194.4,66.85566652001397,211.68,181.39,201.28,1176,1,32.53375562958975,-28.14025123202046,NOS_512070.03,3.48227818508441
42,80.45777020756387,171.51,153.4,163.66,82.62169966997428,169.95,160.28,176.73,67.08442544174653,179.29,167.27,182.63,1177,1,44.70331000712361,-28.037945954394807,WW6161_/_Sj_N1105,3.8000475482543705
43,89.41609013828524,173.04,156.45,179.3,88.50982269383212,165.83,160.63,186.3,70.34893436467125,168.01,164.57,195.06,1178,1,60.716198438672926,-28.821879975945947,Sj_M0477,4.106210523068662
44,90.09450624253178,147.95,143.94,153.67,109.96728435316776,171.0,163.15,190.52,73.70165587615782,230.21,191.98,206.88,1180,1,42.265602852001365,-28.039318879616395,WW6162_/_Sj_P0713,3.7439735839015813
45,81.67443181523666,164.13,150.02,166.08,84.24668780717349,216.65,178.38,202.37,61.563113277121154,213.89,182.19,201.91,1181,1,5.611291951014987,-28.150258529960702,513167.01,1.7247809873195152
46,87.91686871415399,187.23,160.11,179.53,89.24162843860313,209.29,177.22,193.78,60.09920668676007,208.94,181.6,201.25,1182,1,16.469162351318236,-28.058918802647852,NOS_509130.20,2.8014896838383954
47,95.43028812740964,139.8,139.6,160.37,90.33387962014116,186.05,166.46,175.73,66.6867957215778,172.23,162.33,177.34,1183,1,18.287907298704205,-27.51060013030898,WW6159_/_Sj_N0608,2.9062400380711146
48,81.40804023148755,153.26,148.49,171.18,88.63838901334732,199.35,171.32,180.55,58.7369438817134,198.74,174.34,193.37,1184,1,64.49069579194874,-28.154754748538064,Kvarn,4.166520962108892
49,123.73031809568847,175.28,158.74,173.3,114.14748088681549,171.2416730038023,223.8,180.32,88.48112507141965,174.18045801526708,257.98,225.55,1185,1,50.3616777936694,-28.40347918586081,P0170,3.919230524619382
50,109.85691020945958,160.47,156.76,186.08,97.44834041134648,171.2416730038023,213.07,206.65,71.83025858207446,174.18045801526708,216.6,205.43,1186,1,81.78936042888466,-28.05122543648283,Totem,4.404147167042567
51,105.20204990673966,164.41,155.8,167.22,109.41580833232815,243.79,191.91,203.55,84.99072547799658,218.55,187.82,199.73,1187,1,35.45288676145965,-27.82867939359636,P0220,3.5682046815797945
